Time,Ground Truth,Estimation
2020-04-25 09:54:40,77,59
2020-04-25 09:54:50,74,61
2020-04-25 09:55:00,68,61
2020-04-25 09:55:10,71,85
2020-04-25 09:55:20,68,51
2020-04-25 09:55:30,77,115
2020-04-25 09:55:40,63,101
2020-04-25 09:55:50,63,100
2020-04-25 09:56:00,60,53
2020-04-25 09:56:10,60,53
2020-04-25 09:56:20,65,88
2020-04-25 09:56:30,61,67
2020-04-25 09:56:40,68,88
2020-04-25 09:56:50,65,59
2020-04-25 09:57:00,66,53
2020-04-25 09:57:10,67,75
2020-04-25 09:57:20,64,75
2020-04-25 09:57:30,60,51
2020-04-25 09:57:40,61,56
2020-04-25 09:57:50,60,59
2020-04-25 09:58:00,64,104
2020-04-25 09:58:10,62,99
2020-04-25 09:58:20,63,88
2020-04-25 09:58:30,57,84
2020-04-25 09:58:40,61,75
2020-04-25 09:58:50,62,67
2020-04-25 09:59:00,63,61
2020-04-25 09:59:10,68,85
2020-04-25 09:59:20,63,83
2020-04-25 09:59:30,69,69
2020-04-25 09:59:40,67,84
2020-04-25 09:59:50,61,84
2020-04-25 10:00:00,56,72
2020-04-25 10:00:10,54,59
2020-04-25 10:00:20,61,96
2020-04-25 10:00:30,62,125
2020-04-25 10:00:40,64,123
2020-04-25 10:00:50,64,68
2020-04-25 10:01:00,63,77
2020-04-25 10:01:10,62,88
2020-04-25 10:01:20,58,56
2020-04-25 10:01:30,63,61
2020-04-25 10:01:40,64,53
2020-04-25 10:01:50,68,53
2020-04-25 10:02:00,69,56
2020-04-25 10:02:10,69,59
2020-04-25 10:02:20,68,88
2020-04-25 10:02:30,62,125
2020-04-25 10:02:40,60,88
2020-04-25 10:02:50,55,80
2020-04-25 10:03:00,57,115
2020-04-25 10:03:10,57,115
2020-04-25 10:03:20,73,123
2020-04-25 10:03:30,66,115
2020-04-25 10:03:40,63,99
2020-04-25 10:03:50,55,79
2020-04-25 10:04:00,56,78
2020-04-25 10:04:10,63,64
2020-04-25 10:04:20,66,96
2020-04-25 10:04:30,65,109
2020-04-25 10:04:40,60,117
2020-04-25 10:04:50,60,83
2020-04-25 10:05:00,59,104
2020-04-25 10:05:10,54,51
2020-04-25 10:05:20,52,53
2020-04-25 10:05:30,56,89
2020-04-25 10:05:40,53,53
2020-04-25 10:05:50,62,69
2020-04-25 10:06:00,63,88
2020-04-25 10:06:10,66,115
2020-04-25 10:06:20,61,91
2020-04-25 10:06:30,70,59
2020-04-25 10:06:40,65,51
2020-04-25 10:06:50,63,59
2020-04-25 10:07:00,59,52
2020-04-25 10:07:10,60,49
2020-04-25 10:07:20,60,45
2020-04-25 10:07:30,60,59
2020-04-25 10:07:40,63,59
2020-04-25 10:07:50,65,59
2020-04-25 10:08:00,66,51
2020-04-25 10:08:10,61,51
2020-04-25 10:08:20,64,67
2020-04-25 10:08:30,65,96
2020-04-25 10:08:40,68,112
2020-04-25 10:08:50,66,109
2020-04-25 10:09:00,65,104
2020-04-25 10:09:10,67,101
2020-04-25 10:09:20,60,64
2020-04-25 10:09:30,60,59
2020-04-25 10:09:40,60,67
2020-04-25 10:09:50,63,64
